row_IDs,X,b_0,b_1,b_2,b_3,d_0,d_1,d_2,d_3,AveExpr,F,P.Value,adj.P.Val,Regulation
DDB_G0280537,DDB_G0280537,0.000423898,-0.015373898,0.12067085,0.184634928,-0.000239052,0.014741447,-0.118881495,-0.182842909,0.022601744,430.0462442,4.99E-25,6.40E-21,Downregulated
DDB_G0286061,DDB_G0286061,-0.000189476,-0.004972632,0.021637843,0.03133206,0.000247101,0.005761387,-0.021237807,-0.030682343,0.003845178,332.7056357,1.80E-23,1.15E-19,Downregulated
DDB_G0287529,DDB_G0287529,2.92E-05,-0.004436977,0.035458821,0.054397406,-3.52E-05,0.003876606,-0.034561039,-0.053413911,0.006615143,255.3369666,7.10E-22,3.04E-18,Downregulated
DDB_G0286925,DDB_G0286925,0.000792041,0.009288593,0.097531655,0.136802021,-0.000406196,0.002100623,-0.083895309,-0.124824478,0.022901423,249.3843864,9.84E-22,3.16E-18,Downregulated
DDB_G0267378,DDB_G0267378,-0.000911491,-0.020099649,0.064228202,0.091595096,0.000934257,0.020210644,-0.063992948,-0.091371622,0.01047446,229.3999901,3.12E-21,8.00E-18,Downregulated
DDB_G0286499,DDB_G0286499,-0.002444554,-0.045200471,0.111423228,0.152445387,0.002558914,0.044670309,-0.110359554,-0.151048089,0.01711622,220.1741753,5.49E-21,1.17E-17,Downregulated
DDB_G0286647,DDB_G0286647,-0.000136822,-0.005321603,0.033618336,0.050127006,0.000124276,0.005151558,-0.032304165,-0.048478126,0.006209543,195.3376891,2.85E-20,5.22E-17,Downregulated
DDB_G0275195,DDB_G0275195,0.000127748,0.00026692,0.004589019,0.007523991,-9.78E-05,-0.000264227,-0.004535099,-0.007517358,0.000986375,155.9017794,6.19E-19,9.92E-16,Downregulated
DDB_G0277275,DDB_G0277275,-1.64E-05,-0.00065969,0.002654461,0.003778883,2.45E-05,0.000651321,-0.002600032,-0.003718246,0.000464542,151.5576902,9.08E-19,1.29E-15,Downregulated
DDB_G0275295,DDB_G0275295,0.002840283,0.000140554,0.021217266,0.039104562,-0.000782538,0.001015877,-0.023707939,-0.038223946,0.006222803,116.3438343,3.20E-17,4.11E-14,Downregulated
DDB_G0280933,DDB_G0280933,-0.004270027,-0.075006548,0.180128883,0.243877331,0.004339313,0.074757653,-0.17877759,-0.242534917,0.02726434,110.9411334,6.05E-17,7.05E-14,Downregulated
DDB_G0281383,DDB_G0281383,0.009764395,0.005391248,0.025598953,0.042181379,-0.004908048,-0.007759248,-0.023767301,-0.043096017,0.01272941,107.7616042,8.91E-17,9.52E-14,Downregulated
DDB_G0286605,DDB_G0286605,-0.000112709,-0.003060417,0.008141977,0.01129683,0.000142482,0.002989354,-0.008029083,-0.011172679,0.001315586,102.0069013,1.85E-16,1.82E-13,Downregulated
DDB_G0288369,DDB_G0288369,-4.51E-05,-0.00121517,0.0022625,0.002929344,5.70E-05,0.00123272,-0.002248681,-0.002932034,0.000334296,99.40049064,2.60E-16,2.38E-13,Downregulated
DDB_G0269124,DDB_G0269124,0.000446476,0.008828942,0.062859573,0.096146623,-0.000668803,-0.012992335,-0.055934435,-0.0879751,0.013693313,97.2047621,3.50E-16,2.99E-13,Downregulated
DDB_G0277535,DDB_G0277535,0.009920908,-0.018753231,0.01719052,0.022555489,-0.0036773,0.010943333,-0.019662882,-0.029429097,0.009090475,92.5730832,6.66E-16,5.34E-13,Downregulated
DDB_G0267620,DDB_G0267620,-0.000102879,-0.001816984,0.003614782,0.004452788,0.000129241,0.001890085,-0.003495898,-0.004432718,0.000547829,91.29562076,7.99E-16,6.03E-13,Downregulated
DDB_G0284287,DDB_G0284287,1.28E-06,-0.000302615,0.001671217,0.002429892,4.24E-06,0.000323921,-0.00158571,-0.002341192,0.000318388,86.68198443,1.58E-15,1.09E-12,Downregulated
DDB_G0283675,DDB_G0283675,-0.000158953,-0.002926818,0.00846035,0.011620734,0.000150596,0.002607882,-0.007762848,-0.010850924,0.001434838,86.54837551,1.61E-15,1.09E-12,Downregulated
DDB_G0280847,DDB_G0280847,-0.000665676,-0.027892201,0.142019849,0.21251253,0.000712614,0.028581618,-0.141370333,-0.212340572,0.025064613,82.30699438,3.11E-15,1.99E-12,Downregulated
DDB_G0281951,DDB_G0281951,-4.38E-05,-0.001457696,0.008449864,0.011521095,5.99E-05,0.001697697,-0.007951323,-0.011454263,0.001591368,81.19345118,3.71E-15,2.16E-12,Downregulated
DDB_G0287701,DDB_G0287701,8.18E-05,-7.59E-05,0.007497615,0.011581772,-5.59E-05,0.000330327,-0.007262099,-0.011242524,0.001541546,81.21869139,3.69E-15,2.16E-12,Downregulated
DDB_G0281391,DDB_G0281391,6.37E-05,0.000155378,0.002286712,0.003214457,-2.48E-05,-7.24E-06,-0.001976365,-0.002893738,0.000560909,79.57654778,4.82E-15,2.69E-12,Downregulated
DDB_G0288153,DDB_G0288153,-8.66E-05,-0.001535452,0.002656612,0.003340028,9.14E-05,0.001549672,-0.002624694,-0.003314546,0.000273062,78.33763175,5.91E-15,3.06E-12,Downregulated
DDB_G0293186,DDB_G0293186,1.09E-05,-4.79E-05,0.001372548,0.002056175,-8.02E-06,8.48E-05,-0.001338205,-0.0020501,0.000366085,78.28369525,5.96E-15,3.06E-12,Downregulated
DDB_G0274309,DDB_G0274309,0.000631434,0.00571963,0.024466112,0.040145772,-0.000598475,-0.00518755,-0.023655241,-0.039678562,0.005578736,77.41501824,6.89E-15,3.40E-12,Downregulated
DDB_G0291476,DDB_G0291476,5.40E-05,0.004508269,0.00113276,0.000716881,-4.64E-05,-0.003307462,0.010892683,0.016691874,0.01764389,76.68623951,7.79E-15,3.70E-12,Downregulated
DDB_G0287655,DDB_G0287655,0.001692587,0.011816654,0.080483305,0.134849129,-0.00182048,-0.01416119,-0.076317321,-0.130064181,0.002889925,76.45022726,8.11E-15,3.72E-12,Upregulated
DDB_G0293148,DDB_G0293148,0.000994088,0.012476406,0.034429107,0.055289443,-0.001069032,-0.014471605,-0.027804471,-0.048959467,0.000765516,74.0590135,1.22E-14,5.10E-12,Downregulated
DDB_G0270190,DDB_G0270190,0.00025366,-6.40E-05,0.002435942,0.002787782,-0.000126417,0.000217801,-0.001782177,-0.002642706,0.008954075,74.24090974,1.19E-14,5.10E-12,Downregulated
DDB_G0283991,DDB_G0283991,0.002310185,-0.001194766,-0.00061666,0.002407476,-0.000955779,0.000148577,-0.000869565,-0.003328652,0.001337578,74.01582005,1.23E-14,5.10E-12,Downregulated
DDB_G0283493,DDB_G0283493,-6.78E-05,-0.001311097,0.002750863,0.003646459,6.92E-05,0.001312686,-0.002708342,-0.003657743,0.000407362,72.81241751,1.52E-14,6.05E-12,Downregulated
DDB_G0292218,DDB_G0292218,1.30E-05,-0.000404923,0.000714638,0.000877802,4.13E-05,0.000406203,-0.000775868,-0.000868661,0.004976585,72.69418241,1.56E-14,6.05E-12,Downregulated
DDB_G0274539,DDB_G0274539,-0.000684235,-0.012936943,0.032460691,0.044657505,0.000693225,0.012995059,-0.03236998,-0.044572399,0.000130931,70.09106056,2.49E-14,9.38E-12,Downregulated
DDB_G0278731,DDB_G0278731,4.34E-05,-0.00117745,0.014112227,0.021744474,-3.06E-05,0.001174867,-0.013661945,-0.021147292,0.002728367,66.03093914,5.34E-14,1.96E-11,Downregulated
DDB_G0279591,DDB_G0279591,0.016265694,0.005071622,-0.000683471,0.035788895,-0.003777157,-0.000738074,-0.016262338,-0.031933019,0.01233349,65.82589937,5.56E-14,1.98E-11,Downregulated
DDB_G0289669,DDB_G0289669,0.000212081,0.00020234,0.008155378,0.012755125,-0.000107332,-0.000773758,-0.007421971,-0.012066304,0.001828394,65.38146961,6.06E-14,2.10E-11,Downregulated
DDB_G0272530,DDB_G0272530,0.000798072,0.005852287,0.019051881,0.033825582,-0.000740142,-0.005904843,-0.018699824,-0.03387053,0.004547667,64.89950792,6.66E-14,2.25E-11,Downregulated
DDB_G0277413,DDB_G0277413,0.000727321,0.004693002,0.001760213,0.000948591,0.000175106,-0.001869353,0.003558212,0.00644061,0.002627361,64.69288035,6.94E-14,2.28E-11,Upregulated
DDB_G0277699,DDB_G0277699,0.001319795,-0.002247703,0.002987056,0.005434192,-0.000374215,0.001743335,-0.003923928,-0.006097434,0.001362282,64.10489764,7.79E-14,2.50E-11,Downregulated
DDB_G0270662,DDB_G0270662,0.001156067,-0.000212179,0.012873338,0.015164216,-0.000445358,0.001096678,-0.009734999,-0.014202059,7.18E-05,63.59060941,8.63E-14,2.70E-11,Downregulated
DDB_G0283837,DDB_G0283837,2.40E-05,-2.33E-05,0.002036488,0.003188133,-2.18E-05,1.05E-05,-0.001931854,-0.003079053,4.98E-05,63.39198316,8.98E-14,2.74E-11,Downregulated
DDB_G0273419,DDB_G0273419,-0.000202233,-0.003364547,0.006429127,0.008229898,0.000222244,0.003592611,-0.006362053,-0.008118063,0.003940312,62.71202545,1.03E-13,3.07E-11,Downregulated
DDB_G0292030,DDB_G0292030,-7.38E-05,-0.001684321,0.005361709,0.007599497,6.68E-05,0.001424842,-0.004858641,-0.006984151,0.000419621,62.23132298,1.14E-13,3.31E-11,Downregulated
DDB_G0295797,DDB_G0295797,-4.67E-05,-0.000809173,0.001593291,0.001910047,5.34E-05,0.000826796,-0.001554826,-0.001857501,0.000926586,61.94592309,1.20E-13,3.43E-11,Downregulated
DDB_G0271934,DDB_G0271934,2.87E-06,-7.87E-05,0.000348036,0.00045532,3.26E-05,0.000102399,-0.000397657,-0.000452213,0.0009441,61.23719744,1.39E-13,3.89E-11,Downregulated
DDB_G0281253,DDB_G0281253,-5.27E-06,0.000397448,0.000166424,-4.92E-05,1.44E-05,4.68E-05,0.000724801,0.001240456,0.000252683,60.87035818,1.50E-13,4.10E-11,Upregulated
DDB_G0280953,DDB_G0280953,6.90E-06,-5.56E-05,0.000232576,0.00032268,1.65E-06,6.91E-05,-0.000227013,-0.000319992,0.011668905,60.1533474,1.75E-13,4.67E-11,Downregulated
DDB_G0281895,DDB_G0281895,0.000144442,0.000328231,0.002668401,0.003397181,-7.46E-05,-0.000289495,-0.002206501,-0.003381102,0.000712852,59.93246158,1.83E-13,4.69E-11,Downregulated
DDB_G0285283,DDB_G0285283,0.000137754,0.000848637,0.003790818,0.006387313,-0.000113931,-0.000921377,-0.003535777,-0.006129133,0.000906604,59.97319038,1.81E-13,4.69E-11,Downregulated
DDB_G0268028,DDB_G0268028,-0.00156705,-0.020641573,0.07094986,0.093146192,0.001232191,0.02069057,-0.067505286,-0.093669481,0.006838525,59.11874786,2.17E-13,5.47E-11,Downregulated
DDB_G0292912,DDB_G0292912,-0.001520647,-0.027750554,0.049440603,0.063161229,0.001689671,0.027842226,-0.049354439,-0.062937393,0.001669633,58.92406249,2.27E-13,5.59E-11,Downregulated
DDB_G0270240,DDB_G0270240,0.000234655,0.001796258,0.007243608,0.012472389,-0.000210137,-0.001676514,-0.007135536,-0.012388999,0.000233627,58.53431204,2.47E-13,5.97E-11,Downregulated
DDB_G0286663,DDB_G0286663,-1.31E-05,-0.000606423,0.001598235,0.001977317,5.00E-05,0.000724053,-0.001405299,-0.001746807,0.000887947,58.28320551,2.60E-13,6.18E-11,Downregulated
DDB_G0289443,DDB_G0289443,9.98E-05,-0.003622756,0.005430625,0.007409249,7.56E-05,0.003568212,-0.00563765,-0.007462431,0.003676991,58.06930272,2.73E-13,6.36E-11,Downregulated
DDB_G0280927,DDB_G0280927,-0.000140197,-0.002904598,0.019410587,0.028044049,0.000215002,0.004353354,-0.018769039,-0.02714611,0.006564499,57.85232578,2.86E-13,6.55E-11,Downregulated
DDB_G0279361,DDB_G0279361,-0.001061446,-0.018137315,0.043658503,0.058699574,0.001088071,0.018143779,-0.043536479,-0.05866196,0.000315135,57.52158499,3.07E-13,6.91E-11,Downregulated
DDB_G0272524,DDB_G0272524,0.001475785,0.000921368,0.006963588,0.009060015,-0.000412988,-0.001856355,-0.006538272,-0.009315673,0.002649967,55.99822661,4.30E-13,9.51E-11,Downregulated
DDB_G0284683,DDB_G0284683,-6.68E-05,-0.001302735,0.003094489,0.004163571,7.48E-05,0.00129457,-0.003060931,-0.004121203,0.000475554,55.61435707,4.69E-13,1.02E-10,Downregulated
DDB_G0288063,DDB_G0288063,0.000157383,0.000494783,0.002696264,0.00361143,-7.74E-05,-0.000392394,-0.002316781,-0.003594653,0.000731611,55.50824545,4.80E-13,1.03E-10,Downregulated
DDB_G0271354,DDB_G0271354,4.51E-05,-0.000772487,0.001590746,0.001610948,-3.27E-06,0.00085693,-0.001363956,-0.00167562,0.000331516,54.49637129,6.05E-13,1.27E-10,Downregulated
DDB_G0269730,DDB_G0269730,-6.20E-05,-0.001118688,0.001735385,0.002099689,8.03E-05,0.001077999,-0.001704765,-0.00209676,0.000233718,53.2503877,8.07E-13,1.67E-10,Downregulated
DDB_G0278421,DDB_G0278421,-4.79E-05,-0.000858722,0.001455149,0.001751479,6.05E-05,0.00100533,-0.001399496,-0.001700906,0.000217609,52.39217586,9.88E-13,2.01E-10,Downregulated
DDB_G0290309,DDB_G0290309,-1.75E-05,-0.001769164,0.010617788,0.015987424,4.76E-05,0.001816585,-0.010570135,-0.015954868,3.90E-05,52.24759858,1.02E-12,2.05E-10,Downregulated
DDB_G0291291,DDB_G0291291,-5.76E-05,-0.001055351,0.001815055,0.002257884,6.66E-05,0.001074154,-0.00176858,-0.002221071,0.001925516,52.0864326,1.06E-12,2.10E-10,Downregulated
DDB_G0279643,DDB_G0279643,-4.22E-05,-0.000766792,0.001329614,0.001647875,4.84E-05,0.000774234,-0.001316659,-0.00164441,0.000257715,51.72081494,1.16E-12,2.25E-10,Downregulated
DDB_G0280949,DDB_G0280949,0.000445935,0.00445007,0.067435133,0.104036029,-0.00048758,-0.005205092,-0.065333262,-0.102503351,0.013688757,50.55539424,1.54E-12,2.94E-10,Downregulated
DDB_G0290291,DDB_G0290291,0.002223673,0.02072511,0.057714568,0.103203483,-0.002233964,-0.021505105,-0.055664269,-0.100935008,0.013945095,50.20210761,1.68E-12,3.16E-10,Downregulated
DDB_G0281295,DDB_G0281295,0.000640458,-0.006894544,0.104311358,0.164215592,-0.000619336,0.007252724,-0.103532877,-0.16366807,0.019983182,49.88925111,1.81E-12,3.32E-10,Downregulated
DDB_G0272464,DDB_G0272464,0.000304388,0.00104249,0.018460341,0.030290655,-0.000303386,-0.00121602,-0.017804606,-0.029502576,0.000184236,49.91980074,1.80E-12,3.32E-10,Downregulated
DDB_G0269674,DDB_G0269674,0.001036827,0.000118957,0.005447783,0.010123046,-0.000505892,0.000339962,-0.005775116,-0.010076195,0.003872208,49.53590568,1.98E-12,3.57E-10,Downregulated
DDB_G0282245,DDB_G0282245,-0.000363099,-0.003979405,0.019567033,0.026245723,0.000371888,0.003658613,-0.018241273,-0.024490976,0.002053048,49.30734963,2.09E-12,3.73E-10,Downregulated
DDB_G0280997,DDB_G0280997,0.000268878,0.00212439,0.007839526,0.01251345,-0.000224138,-0.002438637,-0.006354284,-0.010633612,0.001823641,49.17247035,2.17E-12,3.81E-10,Downregulated
DDB_G0269132,DDB_G0269132,-3.99E-05,-0.000773193,0.001424337,0.00178607,5.85E-05,0.000795439,-0.001368979,-0.001758175,0.003484023,49.11459428,2.20E-12,3.81E-10,Downregulated
DDB_G0293286,DDB_G0293286,1.93E-06,0.001271863,0.004598221,0.006284808,1.16E-05,-0.001033604,-0.004146839,-0.005837709,0.01222766,48.74226839,2.41E-12,4.07E-10,Downregulated
DDB_G0286413,DDB_G0286413,2.78E-05,-2.15E-05,0.000157107,0.00020551,-6.06E-06,5.27E-05,-0.000145887,-0.000193288,0.001057576,48.75598052,2.41E-12,4.07E-10,Downregulated
DDB_G0282635,DDB_G0282635,7.61E-06,-1.76E-05,0.000165118,0.000210807,2.47E-06,2.08E-05,-0.000155007,-0.000209256,0.000216834,48.14369039,2.81E-12,4.68E-10,Downregulated
DDB_G0268248,DDB_G0268248,0.001733911,0.020003186,0.047838723,0.082195514,-0.001680771,-0.020235301,-0.043357755,-0.0771889,0.00012125,47.69082599,3.16E-12,5.19E-10,Downregulated
DDB_G0288709,DDB_G0288709,-6.74E-05,-0.001595761,0.003629475,0.00466684,9.56E-05,0.001589969,-0.00353148,-0.004655533,5.72E-05,47.54993012,3.27E-12,5.31E-10,Downregulated
DDB_G0279795,DDB_G0279795,0.000183164,0.000859833,-9.15E-05,-2.79E-05,-0.000917323,-0.013337798,0.019685979,0.024186058,0.000575286,47.0334701,3.74E-12,6.00E-10,Downregulated
DDB_G0284479,DDB_G0284479,0.000256269,0.000356743,0.00081166,-0.000607075,0.000186061,0.004338228,0.002447448,0.005112214,0.002628772,46.85404625,3.92E-12,6.21E-10,Upregulated
DDB_G0267548,DDB_G0267548,0.001343176,-0.001422123,0.005949432,0.007643693,-0.000549395,0.00174137,-0.005544541,-0.008002469,0.001428871,46.66836297,4.12E-12,6.44E-10,Upregulated
DDB_G0288723,DDB_G0288723,0.006186789,-0.003374987,-0.007754766,0.000680824,-0.002798121,0.001532413,0.002559615,-0.002273014,0.002182832,46.47358562,4.33E-12,6.70E-10,Downregulated
DDB_G0292892,DDB_G0292892,3.77E-06,-0.000278884,0.000695944,0.000966607,6.05E-06,0.000284248,-0.000688287,-0.000954498,0.002181329,46.27941255,4.56E-12,6.96E-10,Downregulated
DDB_G0293442,DDB_G0293442,1.73E-05,-2.85E-05,0.000845756,0.001338963,-1.04E-05,3.14E-05,-0.000830661,-0.00133757,0.000173874,46.02905434,4.87E-12,7.35E-10,Downregulated
DDB_G0270768,DDB_G0270768,-0.000572933,-0.01277218,0.017992291,0.02217483,0.000747189,0.012733156,-0.01829417,-0.022219764,4.28E-05,45.59171663,5.48E-12,8.17E-10,Downregulated
DDB_G0277411,DDB_G0277411,5.82E-05,0.000986971,0.002617325,0.002922637,-7.00E-05,-0.001075302,-0.002144003,-0.003049522,0.000650458,45.28236929,5.95E-12,8.77E-10,Downregulated
DDB_G0286053,DDB_G0286053,-1.95E-06,-0.000107469,0.000246372,0.000295992,8.94E-06,0.000117458,-0.000238746,-0.000292539,0.002287461,44.94794306,6.51E-12,9.49E-10,Downregulated
DDB_G0286573,DDB_G0286573,0.001219299,0.010164688,0.041176906,0.071593736,-0.001619556,-0.017133547,-0.030589744,-0.058870608,0.010539856,44.73976905,6.89E-12,9.93E-10,Downregulated
DDB_G0282667,DDB_G0282667,-0.00042926,-0.0057446,0.014886101,0.017886459,0.000513338,0.006944919,-0.013075367,-0.015846089,4.30E-05,44.62332111,7.11E-12,1.01E-09,Downregulated
DDB_G0271930,DDB_G0271930,2.90E-05,5.32E-05,0.000964565,0.001427092,-1.24E-05,-6.19E-05,-0.000876119,-0.001377094,6.26E-05,44.55496478,7.25E-12,1.02E-09,Downregulated
DDB_G0279163,DDB_G0279163,-8.87E-05,-0.001452707,0.002759429,0.003469121,9.38E-05,0.001437505,-0.002660257,-0.00334201,0.000366132,44.29774338,7.78E-12,1.08E-09,Downregulated
DDB_G0288331,DDB_G0288331,-0.001716229,-0.027477077,0.040203186,0.048638536,0.001757848,0.027529541,-0.040209183,-0.048616348,0.002654941,44.11393555,8.18E-12,1.13E-09,Downregulated
DDB_G0282305,DDB_G0282305,-0.001810133,-0.03079785,0.06146047,0.080774612,0.00185705,0.030937551,-0.061363691,-0.080808932,0.000225503,44.07942349,8.26E-12,1.13E-09,Downregulated
DDB_G0283959,DDB_G0283959,0.000479704,0.000228398,0.000108043,0.000467902,-0.000238334,-0.000496861,-0.000188426,-0.000644126,0.000399262,43.50679095,9.67E-12,1.31E-09,Downregulated
DDB_G0286309,DDB_G0286309,0.002668149,-0.000728989,-0.004596041,-0.00083664,-0.001447957,0.000298587,0.002528666,0.000460237,0.004908454,43.29119494,1.03E-11,1.37E-09,Downregulated
DDB_G0280873,DDB_G0280873,-0.000687514,-0.013904677,0.044106293,0.062255334,0.000700769,0.014022481,-0.043760049,-0.062080015,0.00871877,43.0308146,1.11E-11,1.46E-09,Downregulated
DDB_G0290317,DDB_G0290317,-1.22E-05,-0.001159554,0.003709099,0.005054563,4.90E-05,0.001123334,-0.003630116,-0.005083017,0.000646846,42.54836911,1.27E-11,1.66E-09,Downregulated
DDB_G0280931,DDB_G0280931,0.001865008,0.034632345,0.050509265,0.086182457,-0.002158789,-0.039241981,-0.04120291,-0.074925559,0.007182213,42.48976513,1.29E-11,1.67E-09,Downregulated
DDB_G0277581,DDB_G0277581,0.000691516,-0.002608146,0.002668954,0.004803651,-0.000198015,0.002411736,-0.003413231,-0.005009974,7.34E-05,42.44748465,1.30E-11,1.67E-09,Downregulated
DDB_G0280019,DDB_G0280019,1.08E-05,-0.000156659,0.000314225,0.000422706,3.89E-07,0.000149518,-0.000301595,-0.00042575,0.014203507,42.22706401,1.39E-11,1.75E-09,Downregulated
DDB_G0278503,DDB_G0278503,0.032775857,0.355127277,0.61538526,1.17255262,-0.035165957,-0.39793599,-0.542901719,-1.087848018,0.000694427,42.25508276,1.38E-11,1.75E-09,Downregulated
DDB_G0272438,DDB_G0272438,0.008497135,-0.001102125,-0.010440013,-0.003884501,-0.00413316,-0.000387982,0.006844516,0.002417571,3.59E-05,41.95968389,1.50E-11,1.87E-09,Downregulated
DDB_G0274713,DDB_G0274713,0.007356564,0.069828245,0.199565045,0.357412209,-0.007747371,-0.07719953,-0.182957788,-0.337426487,0.000794243,41.68012809,1.62E-11,2.00E-09,Downregulated
DDB_G0277141,DDB_G0277141,-7.90E-06,-0.000296505,0.000486567,0.000584084,1.32E-05,0.000302335,-0.000471697,-0.000575422,0.168804863,41.57943106,1.67E-11,2.04E-09,Downregulated
DDB_G0269454,DDB_G0269454,4.44E-06,-0.000396162,0.000997063,0.001273315,6.63E-06,0.000393126,-0.000932041,-0.001210469,0.003757211,41.37891815,1.77E-11,2.12E-09,Downregulated
DDB_G0280085,DDB_G0280085,1.83E-05,0.000361381,0.000256926,0.000361122,-1.81E-05,-0.000364545,-0.000148262,-0.000294922,0.049250144,41.39837646,1.76E-11,2.12E-09,Downregulated
DDB_G0288323,DDB_G0288323,-0.00126977,-0.028122075,0.089210787,0.127245172,0.001322591,0.028906993,-0.088918757,-0.127208498,9.59E-05,41.2378384,1.85E-11,2.19E-09,Downregulated
DDB_G0280871,DDB_G0280871,4.76E-05,-9.10E-05,0.000362601,0.000604583,-3.89E-05,9.66E-05,-0.000341043,-0.000598247,0.014574606,41.00604753,1.98E-11,2.32E-09,Downregulated
DDB_G0277271,DDB_G0277271,1.44E-05,0.00019201,0.000466851,0.000684251,-8.57E-06,-0.000119621,-0.000374934,-0.000580753,0.000181249,40.87968681,2.05E-11,2.39E-09,Downregulated
DDB_G0281361,DDB_G0281361,4.39E-06,1.12E-05,0.000658834,0.000838121,1.93E-05,-1.30E-05,-0.000591624,-0.000797853,0.000446973,40.71165003,2.15E-11,2.49E-09,Downregulated
DDB_G0272795,DDB_G0272795,2.76E-06,-4.53E-05,0.000203178,0.000223118,7.88E-06,5.11E-05,-0.000195732,-0.000216918,0.034469258,40.32844982,2.41E-11,2.76E-09,Downregulated
DDB_G0285753,DDB_G0285753,3.97E-05,-8.85E-05,0.002197308,0.003464877,-2.71E-05,8.27E-05,-0.002158213,-0.003446966,0.000151903,40.15980133,2.54E-11,2.88E-09,Downregulated
DDB_G0293082,DDB_G0293082,0.024264374,0.018939918,0.088360906,0.169221951,-0.015434432,-0.032816547,-0.085463608,-0.18061335,0.000134141,40.00888032,2.65E-11,2.99E-09,Downregulated
DDB_G0272420,DDB_G0272420,0.000280379,0.002240835,0.008799916,0.015410215,-0.000274783,-0.002269654,-0.008709505,-0.015344289,0.002000551,39.90213998,2.74E-11,3.06E-09,Downregulated
DDB_G0289111,DDB_G0289111,1.77E-05,-0.000241394,0.001257826,0.00182593,-1.07E-06,0.000331662,-0.001198937,-0.001749119,0.001173577,39.77472493,2.85E-11,3.15E-09,Downregulated
DDB_G0285259,DDB_G0285259,0.000858781,-0.000439638,0.002486395,0.001199461,-0.000367508,0.000401181,-0.001966672,-0.001785474,0.00025739,39.60514153,3.00E-11,3.28E-09,Downregulated
DDB_G0278717,DDB_G0278717,0.000288142,0.002471094,0.005569425,0.010317863,-0.000258529,-0.00251691,-0.005424782,-0.010217632,0.000100128,39.54489021,3.05E-11,3.29E-09,Downregulated
DDB_G0281083,DDB_G0281083,2.30E-06,-0.000105667,0.00017208,0.000189109,5.83E-06,0.000113803,-0.000162875,-0.000184171,0.001424694,39.5727952,3.02E-11,3.29E-09,Downregulated
DDB_G0283169,DDB_G0283169,-0.000524885,-0.00905236,0.013551647,0.016340787,0.000578732,0.009168903,-0.013462855,-0.016275772,3.20E-05,39.31305685,3.27E-11,3.50E-09,Downregulated
DDB_G0285935,DDB_G0285935,0.000119593,0.003725637,0.001936676,0.00136517,-8.71E-05,-0.00268819,-0.001118947,-0.000671806,3.12E-05,39.23615032,3.35E-11,3.55E-09,Downregulated
DDB_G0286055,DDB_G0286055,0.000593705,0.000710183,0.002026788,0.003755044,-0.000228548,-0.000894219,-0.002188863,-0.003619027,0.001737774,39.1081956,3.48E-11,3.60E-09,Downregulated
DDB_G0282265,DDB_G0282265,-0.002838097,-0.043120383,0.063764169,0.076447298,0.002908707,0.043656275,-0.063547982,-0.07621925,0.000881112,39.11666522,3.47E-11,3.60E-09,Downregulated
DDB_G0287269,DDB_G0287269,4.05E-05,0.000779155,0.000110855,0.00013784,-0.000145727,-0.002507048,0.003348324,0.004120847,0.003716755,39.13535999,3.45E-11,3.60E-09,Downregulated
DDB_G0290633,DDB_G0290633,0.008234468,0.001055924,-0.009981347,0.001898346,-0.002834085,-0.003348342,0.002566447,-0.002592843,0.000575679,38.98044624,3.62E-11,3.71E-09,Upregulated
DDB_G0280215,DDB_G0280215,0.0096407,-0.004472581,-0.016264387,-0.004036783,-0.003077428,0.000179097,0.005318188,0.001074311,0.007819373,38.91501503,3.69E-11,3.76E-09,Downregulated
DDB_G0277703,DDB_G0277703,4.36E-06,-4.19E-05,0.000532884,0.000539772,2.08E-05,0.000232545,-0.000471517,-0.000435734,0.000887465,38.63704913,4.02E-11,4.06E-09,Downregulated
DDB_G0278707,DDB_G0278707,-0.000249467,-0.006607127,0.026241924,0.038206365,0.000257816,0.006605613,-0.025908541,-0.037833765,8.04E-05,38.46132568,4.25E-11,4.25E-09,Downregulated
DDB_G0277853,DDB_G0277853,-0.000136736,-0.002294901,0.003992937,0.005048662,0.000142107,0.002291219,-0.003963811,-0.005016575,0.004494397,38.41854964,4.30E-11,4.28E-09,Downregulated
DDB_G0293556,DDB_G0293556,0.030687701,0.01641037,0.020907218,0.087830707,-0.015131739,-0.030921422,-0.030944994,-0.098930833,0.0027128,38.37539744,4.36E-11,4.30E-09,Downregulated
DDB_G0286475,DDB_G0286475,-0.000579015,-0.009455763,0.015845938,0.019851497,0.000597864,0.00942077,-0.015714356,-0.019663302,0.000541031,38.2561916,4.52E-11,4.43E-09,Downregulated
DDB_G0284907,DDB_G0284907,0.011720856,0.12630172,0.219508051,0.417382341,-0.012408169,-0.140687712,-0.189156137,-0.380735086,0.00210154,38.19511462,4.61E-11,4.45E-09,Downregulated
DDB_G0275053,DDB_G0275053,-1.80E-05,-0.000389989,0.0005859,0.000693851,2.34E-05,0.000391736,-0.00057008,-0.000685861,0.025954644,38.1998619,4.60E-11,4.45E-09,Downregulated
DDB_G0276939,DDB_G0276939,-0.000730765,-0.010319416,0.01642845,0.018594922,0.000716203,0.010467743,-0.015711646,-0.01865617,0.061186656,38.05035457,4.82E-11,4.59E-09,Downregulated
DDB_G0279727,DDB_G0279727,0.021851442,0.172071121,0.088715838,0.00056994,0.012764058,0.168637535,0.135010269,0.229230351,0.002155131,38.04865497,4.83E-11,4.59E-09,Downregulated
